CO2Air,TAir,TTop,TCan
817.0184005,20.7,21.7,21.7
836.8139999,20.6,21.6,21.6
835.0144009,20.7,21.7,21.7
844.0123991,20.7,21.7,21.7
820.6176008,20.40000001,21.40000001,21.40000001
826.0164,20.4,21.4,21.4
820.6175995,20.3,21.3,21.3
813.419201,20.3,21.3,21.3
811.6196001,20.3,21.3,21.3
802.6216003,20.3,21.3,21.3
815.2188001,20.3,21.3,21.3
817.0183966,20.2,21.2,21.2
782.8260034,20.2,21.2,21.2
797.2227995,20.2,21.2,21.2
790.0244,20.1,21.1,21.1
797.2228001,20.00000001,21.00000001,21.00000001
799.0223998,20.09999999,21.09999999,21.09999999
822.4171984,20.00000001,21.00000001,21.00000001
800.8220007,20,21,21
800.8220001,20,21,21
802.6216014,19.99999999,20.99999999,20.99999999
817.0183986,19.90000001,20.90000001,20.90000001
808.0204003,20,21,21
806.2208,19.9,20.9,20.9
795.4232018,19.89999999,20.89999999,20.89999999
822.4171964,19.80000001,20.80000001,20.80000001
790.0244022,19.8,20.8,20.8
815.2187992,19.9,20.9,20.9
791.8239996,19.9,20.9,20.9
781.0264016,19.79999999,20.79999999,20.79999999
797.2227984,19.70000001,20.70000001,20.70000001
800.8219999,19.8,20.8,20.8
804.4212,19.8,20.8,20.8
800.822,19.80000001,20.80000001,20.80000001
800.822,19.99999997,20.99999997,20.99999997
813.4191992,20,21,21
813.4192,20,21,21
811.6195999,20,21,21
808.0204,20,21,21
808.0204,20,21,21
802.6216002,20.1,21.1,21.1
809.82,20,21,21
802.6216002,20,21,21
806.2207995,20,21,21
809.8199998,20,21,21
808.0204001,20,21,21
806.2208003,20,21,21
815.2188005,19.90000001,20.90000001,20.90000001
820.6175995,19.99999999,20.99999999,20.99999999
786.4252011,19.9,20.9,20.9
815.2188,19.9,20.9,20.9
811.6195992,19.90000001,20.90000001,20.90000001
799.0224017,20.09999997,21.09999997,21.09999997
802.6215998,20.00000001,21.00000001,21.00000001
802.6216,19.9,20.9,20.9
799.0224001,19.8,20.8,20.8
802.6216005,19.9,20.9,20.9
808.0203995,19.9,20.9,20.9
790.0244006,19.8,20.8,20.8
808.0204,20,21,21
802.6215992,19.80000001,20.80000001,20.80000001
790.0244017,19.99999997,20.99999997,20.99999997
795.4231996,19.80000001,20.80000001,20.80000001
804.4211997,19.8,20.8,20.8
890.8020118,19.9,20.9,20.9
1243.523625,19.90000001,20.90000001,20.90000001
1490.068775,19.99999999,20.99999999,20.99999999
1450.477601,19.9,20.9,20.9
1313.708,20.1,21.1,21.1
1335.303199,19.99999999,20.99999999,20.99999999
1322.706002,19.90000001,20.90000001,20.90000001
1284.914403,19.9,20.9,20.9
1279.5156,19.8,20.8,20.8
1290.3132,19.80000001,20.80000001,20.80000001
1277.716008,19.99999999,20.99999999,20.99999999
1353.299192,19.90000001,20.90000001,20.90000001
1358.698,19.8,20.8,20.8
1349.7,20,21,21
1331.703998,20.20000001,21.20000001,21.20000001
1304.710004,20.29999999,21.29999999,21.29999999
